url	chapt_title	img_path
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/index.html	About this Course	./resources/chapt_screen_images/index.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/introduction.html	1 Introduction	./resources/chapt_screen_images/introduction.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/defining-reproducibility.html	2 Defining Reproducibility	./resources/chapt_screen_images/defining-reproducibility.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/using-version-control-with-github.html	3 Using version control with GitHub	./resources/chapt_screen_images/using-version-control-with-github.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/providing-data.html	4 Providing data	./resources/chapt_screen_images/providing-data.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/engaging-in-code-review---as-an-author.html	5 Engaging in Code Review - as an author	./resources/chapt_screen_images/engaging-in-code-review---as-an-author.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/engaging-in-code-review---as-a-reviewer.html	6 Engaging in Code Review - as a reviewer	./resources/chapt_screen_images/engaging-in-code-review---as-a-reviewer.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/launching-a-docker-image.html	7 Launching a Docker image	./resources/chapt_screen_images/launching-a-docker-image.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/modifying-a-docker-image.html	8 Modifying a Docker image	./resources/chapt_screen_images/modifying-a-docker-image.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/automation-as-a-reproducibility-tool.html	9 Automation as a reproducibility tool	./resources/chapt_screen_images/automation-as-a-reproducibility-tool.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/about-the-authors.html	About the Authors	./resources/chapt_screen_images/about-the-authors.png
https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics/references.html	References	./resources/chapt_screen_images/references.png
